# container	index	ct	gold	crowns	vouchers	name	total gold	total crowns	total vouchers
Bag 07	1	6	14000			Blue Crystal Fragments	84000		
Bag 07	2	2	12000			Blue Crystal Spire	24000		
Bag 07	3	4				Coldharbour Glowstalk, Seedlings			
Bag 07	4	9				Coldharbour Glowstalk, Seedlings			
Bag 07	5	5				Coldharbour Glowstalk, Strong			
Bag 07	6	5	3796			Coldharbour Glowstalk, Young	18980		
Bag 07	7	5	5000			Culanda Stone, Glowing	25000		
Bag 07	8	14	9000			Flower Patch, Glowstalks	126000		
Bag 07	9	10	15000			Flowers, Blue Starbloom	150000		
Bag 07	10	6	20000			Glow Bush, Purple	120000		
Bag 07	11	9	7197.114297286			High Elf Lamppost, Stone	64774.028675574		
Bag 07	12	8				Imperial Lightpost, Stone			
Bag 07	13	15	919.9799404837			Nord Torch, Triple	13799.699107256		
Bag 07	14	27	4999			Wedding Blossoms, Blue	134973		
Bag 07	15	23	2500			Wedding Blossoms, Peach	57500		
Bag 07	16	16	5000			Wedding Lantern	80000		
Bag 07	17	4	5000			Varla Stone, Glowing	20000		
Bag 07	18	4	4055.1650498532			High Elf Sconce, Winged	16220.660199413		
Bag 07	19	4	4689.732013559			High Elf Lamppost, Spiked	18758.928054236		
Bag 07	20	3	1181			High Elf Lamp, Oil	3543		
Bag 07	21	4	2007			Daedric Brazier, Table	8028		
Bag 07	22	3	2500			Coldharbour Glowstalk, Sprout	7500		
Bag 07	23	3	2273.6108303586			Nord Lantern, Hanging	6820.8324910758		
Bag 07	24	2	1814.0136875881			Lantern, Stationary	3628.0273751762		
Bag 07	25	2	1300			Nord Lantern, Cage	2600		
Bag 07	26	2	3000			Hanging Wedding Lantern	6000		
Bag 07	27	2	9000			Flower Patch, Glowstalks	18000		
Bag 07	28	2		190		Daedric Brazier, Cold-Flame		380	
Bag 07	29	5	1131.4356313818			Common Lantern, Hanging	5657.178156909		
Bag 08	1	2				New Life Garland Wreath			
Bag 08	2	2				New Life Ladle			
Bag 08	3	4				Ashlander Knife, Cheese			
Bag 08	4	8	795.8065644172			Banana, Wax	6366.4525153376		
Bag 08	5	5	3000			Bottle, Liquor	15000		
Bag 08	6	5				Breton Mug, Full			
Bag 08	7	5	2500			Clockwork Gear Display, Bell Jar	12500		
Bag 08	8	5	3000			Clockwork Gear Display, Tall Jar	15000		
Bag 08	9	2		200		Coldharbour Bin, Black Soul Gem		400	
Bag 08	10	1	650			Papers, Stack	650		
Bag 08	11	1	750			Factotum Head, Obsolete	750		
Bag 08	12	2		200		Coldharbour Crate, Black Soul Gem		400	
Bag 08	13	7	1750			Common Soul Gem, Empty	12250		
Bag 08	14	2	783.1881189894			Daedric Bench, Ashen	1566.3762379788		
Bag 08	15	1				Guar Ice Sculpture			
Bag 08	16	2	3080.8458591148			Daedric Urn, Ashen	6161.6917182296		
